Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment
0,ab715fae-4616-428c-b495-df45c0d514f0,Mohd M Suman,https://play-lh.googleusercontent.com/a-/ALV-UjUDN2SLIxzjV-phWIWti-fS-26og_XQYzEz1SRml0ocFkc0UGiBPg,Very bed experience with this card. I expected that i can use this card worldwide atm machine. But it's valueless. I can't get access to the app in abroad for deposit money to use this card. Still i get notification but can't open app. It's totally worst.,1,0,2.13.4,2026-01-29 15:06:20,"

We apologize deeply for the inconvenience caused. Please provide your upay account number on our Facebook page (m.me/upaybangladesh) and we will address the issue promptly and with the highest level of attention and care.",2026-01-25 18:32:34,2.13.4,error
1,ebdf8461-be23-4206-ad28-9fb3afcc64d6,Protik Ahmed,https://play-lh.googleusercontent.com/a-/ALV-UjX1_Ei_T0ZiPnSM7IN0wu4q08QQXOQSHlrO4p31jxXxyGUfw40,"Support was very bad. I used Upay to withdraw my money from Payoneer, but this time they took the dollars and held my money due to a system issue. After multiple attempts to contact their support team, they always replied in a robotic way. It's the most disgusting support system I have ever seen.",1,52,2.13.4,2025-11-30 09:42:20,We're genuinely sorry for your experience & we appreciate you bringing this matter to our attention. We request you to share the complaint details with us through our livechat service: https://customerservice.upaybd.com. We will take it in high priority and will be there to assist you.,2025-11-30 17:13:36,2.13.4,error
2,6921faf9-c3f2-4389-8795-be1dcb6e286d,JHON KILENTON,https://play-lh.googleusercontent.com/a-/ALV-UjW1fTzIs3KIkpHGd5pQmUYXeBhHxk4MYGyw4AzymJhBLgD8R0k,"The Upay app is good and works smoothly. But please add a foreign payment ON/OFF toggle for Upay prepaid card, and also an MFS to MFS send money option. These features will make Upay more user-friendly and competitive. Thank you!",4,7,2.13.4,2026-01-10 20:46:50,"Thank you so much for your kind words! We're thrilled to hear that you had a positive experience with our service. Providing exceptional service is at the heart of what we do, and it's incredibly rewarding to know that we've met your expectations.",2025-07-28 16:41:57,2.13.4,error
3,98d65dd9-7847-44f9-85a3-9595ea42ddd0,The Roman,https://play-lh.googleusercontent.com/a/ACg8ocJPZu2ofizzcE68_SLs2UbD-EKWh3BFRmlUU-elBzpivomULg=mo,"this app is good . but I don't know how much safety , this app gives . In my opinion this app password should be get mixed with articles and numbers. Not only just numbers",3,0,2.13.4,2026-01-24 10:14:20,"Thank you for taking the time to provide us with your feedback. Your suggestions are invaluable to us, and we'll certainly take them into consideration & will forward to our concern team. If you have any further thoughts or suggestions, please feel free to share them with us. We appreciate your support!",2026-01-25 18:30:49,2.13.4,error
4,f8ce3533-68a1-48c5-a88b-c8cd8778f2b8,Aminul Hoque,https://play-lh.googleusercontent.com/a-/ALV-UjXv_5N360Q92sZhvYeaoD65adoVt6WG2dn2W_k1O_rTPdqUxDo,"there are so little number of agent of UPAY in our Chattogram... it is very difficult to widhraw money.. Thats why, people are not using UPAY.. I wish UPAY team will think about increasing agents in our Chattogram.",3,0,2.13.4,2026-01-22 12:32:02,We're genuinely sorry to hear that. We are requesting you to message us your detailed area information on our Facebook page at (m.me/upaybangladesh) so that we can share the nearest agent locations with you.,2026-01-22 16:36:53,2.13.4,error
5,15c92f8d-b6e7-4f0a-a8fc-e71a7fc8fe96,MD.RABIUL HASAN Sayed,https://play-lh.googleusercontent.com/a-/ALV-UjWnQ3JG3yCJrTwg3vW__VStegFuiwmUb5FM_DUGbn_reSfaw7yP,"This app say my pasword and phone not matching, in the same time by dialing *268# I'm using this password with my number and working... and if i wanna reset pin from app option, it reffer for call help line. How could a financial app act like this??",1,0,2.13.4,2025-12-29 09:04:09,We're genuinely sorry to hear that. We are requesting you to message us on our Facebook page at (m.me/upaybangladesh) to resolve the issue.,2025-12-29 15:22:35,2.13.4,error
6,25bd4f73-10b7-4dc1-8b13-495d0357bef0,Md Shohan Hossen Shohag,https://play-lh.googleusercontent.com/a-/ALV-UjWvbJmpUODAeBywC_fJAK5RuUXj87VtoAMqzok98yeP4bnP89tp,"There was 4 days, They Charge Dollar from Payoneer and not PAY my BDT. The support totally Worst and Not Recommended to use this app if you want Payoneer to Upday/ Remittance",1,1,2.13.4,2025-12-09 00:40:58,We're genuinely sorry for your experience & we appreciate you bringing this matter to our attention. We request you to share the complaint details with us through our livechat service: https://customerservice.upaybd.com. We will take it in high priority and will be there to assist you.,2025-12-09 14:26:36,2.13.4,error
7,4d45c6e7-f0eb-4895-973d-9e409f20570b,Sauce,https://play-lh.googleusercontent.com/a/ACg8ocKB8JqBrZSDw5MjwTNn0ds72noNgu_k19GZpDB7ZCXplb_1=mo,Very limited options for add money from bank. They don't have sufficient agents either. Soon this service will die out. 😒,2,1,2.13.4,2026-01-15 03:54:26,We're genuinely sorry to hear that. We are requesting you to message us your detailed area information on our Facebook page at (m.me/upaybangladesh) so that we can share the nearest agent locations with you.,2026-01-15 18:14:20,2.13.4,error
8,9c1f5160-b1c3-4653-9c54-f7a7083a2d67,Sami Kazi,https://play-lh.googleusercontent.com/a-/ALV-UjXjmLm97P1lhzKsS3DF_zhyqgC2GouTfVvrW9eV3NNMRmlJGv5C,upay and ucb bank's service is very unimpressive.... there service is not good enough....,1,0,2.13.4,2026-01-11 18:07:44,"Thank you for taking the time to provide us with your feedback. Your suggestions are invaluable to us, and we'll certainly take them into consideration & will forward to our concern team. If you have any further thoughts or suggestions, please feel free to share them with us. We appreciate your support!",2026-01-12 17:57:04,2.13.4,error
9,7abf08ee-cde5-4ca9-a67a-848f5e91543b,Omar Faruk Fahad,https://play-lh.googleusercontent.com/a/ACg8ocJyIHQEpQcfwSj-_QLvRPC-DEffsuOtgaCl-HQfTPsC64rFgQ=mo,"i can't login my account, i hadn’t receive any otp. Please solve this problem.",1,0,2.13.4,2026-01-23 23:19:37,We're genuinely sorry to hear that. We are requesting you to message us your detailed area information on our Facebook page at (m.me/upaybangladesh) so that we can share the nearest agent locations with you.,2026-01-25 18:29:05,2.13.4,error
10,96dae2fb-4506-465e-a49d-457ea9224954,Munsur,https://play-lh.googleusercontent.com/a/ACg8ocJkV2Nis5nu5EPuXQRBZyhxbpC3gvCKwAVuogmJTTfNSdEoHA=mo,MFS and Loan options are very important for mobile banking. These two options are extremely necessary to survive in a competitive market.,5,30,2.13.4,2025-12-05 22:15:05,"Thank you for taking the time to provide us with your feedback. Your suggestions are invaluable to us, and we'll certainly take them into consideration. If you have any query regarding our DPS, please feel free to share them on our Facebook page (m.me/upaybangladesh). We appreciate your support!",2025-11-19 13:01:35,2.13.4,error
11,88dd27f4-901e-4d7e-bac3-5387a61b0f53,Shahana Mukta,https://play-lh.googleusercontent.com/a/ACg8ocITWBtA1_KaM-2qqwCvsi0s6ILz_Wet2e_Id1TC47nM332Sfg=mo,error shows during account creation after submiting original.and.good quality nid picture and face.,1,1,2.13.4,2025-11-22 08:46:05,"Thanks for reaching out to us. Opening a upay account is very easy. Just download the upay app and follow the procedure. To see the self-registration procedure, visit this link: https://www.upaybd.com/services/details/upay-account-creation",2025-11-24 12:11:37,2.13.4,error
12,ce6a8adb-f797-468a-aaf6-40e3fe8a3123,Miraz Zisan,https://play-lh.googleusercontent.com/a/ACg8ocJ0vU-xjMh7pitMpdRuc6su3b-W6TPP3Vvmv0uw1-_Zyp7vAU4=mo,To me upay mfs app As good as them upay I like the prepaid card very much. This should continue.,5,5,2.13.4,2026-01-12 00:21:22,"Thank you so much for your positive review! We're thrilled to hear that you're enjoying our app. Your support means the world to us and motivates us to keep improving and delivering the best experience possible. If you ever have any suggestions or feedback, feel free to reach out. Thanks again for choosing us!",2026-01-12 17:57:48,2.13.4,error
13,2b616e2a-3197-42ea-8605-28ed363bc355,Jhon Leo,https://play-lh.googleusercontent.com/a/ACg8ocLCDYrLPUtNkH2IO6POnpXi-OUxT8S6NJqWfvQNBYM68mWw1Q=mo,"The worst app ever. If you intend to add money but the app closes or the internet goes down when as you input your card information, your daily limit has been exceeded. Despite whatever you do, you will never be able add money, no matter how much you need. They won't resolve the issue if you call their support. There are a lot of inexperienced support staff there.",1,9,,2025-02-23 17:04:48,We're genuinely sorry for your experience & we appreciate you bringing this matter to our attention. We request you to share the complaint details with us through our livechat service: https://customerservice.upaybd.com. We will take it in high priority and will be there to assist you.,2025-02-24 12:20:55,,error
